Date,diet
2011-06-26,70
2011-07-03,71
2011-07-10,73
2011-07-17,74
2011-07-24,72
2011-07-31,72
2011-08-07,67
2011-08-14,69
2011-08-21,67
2011-08-28,66
2011-09-04,66
2011-09-11,69
2011-09-18,68
2011-09-25,68
2011-10-02,65
2011-10-09,67
2011-10-16,65
2011-10-23,64
2011-10-30,65
2011-11-06,65
2011-11-13,66
2011-11-20,56
2011-11-27,68
2011-12-04,59
2011-12-11,56
2011-12-18,52
2011-12-25,68
2012-01-01,100
2012-01-08,88
2012-01-15,81
2012-01-22,79
2012-01-29,77
2012-02-05,76
2012-02-12,71
2012-02-19,79
2012-02-26,78
2012-03-04,76
2012-03-11,75
2012-03-18,75
2012-03-25,73
2012-04-01,72
2012-04-08,75
2012-04-15,79
2012-04-22,77
2012-04-29,76
2012-05-06,75
2012-05-13,74
2012-05-20,73
2012-05-27,72
2012-06-03,71
2012-06-10,71
2012-06-17,72
2012-06-24,74
2012-07-01,71
2012-07-08,75
2012-07-15,76
2012-07-22,76
2012-07-29,75
2012-08-05,75
2012-08-12,74
2012-08-19,73
2012-08-26,69
2012-09-02,70
2012-09-09,70
2012-09-16,70
2012-09-23,67
2012-09-30,66
2012-10-07,63
2012-10-14,65
2012-10-21,61
2012-10-28,59
2012-11-04,61
2012-11-11,62
2012-11-18,54
2012-11-25,62
2012-12-02,61
2012-12-09,56
2012-12-16,48
2012-12-23,55
2012-12-30,88
2013-01-06,92
2013-01-13,81
2013-01-20,79
2013-01-27,79
2013-02-03,77
2013-02-10,73
2013-02-17,80
2013-02-24,85
2013-03-03,80
2013-03-10,78
2013-03-17,79
2013-03-24,75
2013-03-31,76
2013-04-07,80
2013-04-14,76
2013-04-21,81
2013-04-28,79
2013-05-05,76
2013-05-12,75
2013-05-19,74
2013-05-26,74
2013-06-02,74
2013-06-09,74
2013-06-16,73
2013-06-23,71
2013-06-30,68
2013-07-07,76
2013-07-14,71
2013-07-21,72
2013-07-28,73
2013-08-04,73
2013-08-11,72
2013-08-18,71
2013-08-25,66
2013-09-01,71
2013-09-08,69
2013-09-15,69
2013-09-22,65
2013-09-29,65
2013-10-06,65
2013-10-13,66
2013-10-20,64
2013-10-27,62
2013-11-03,64
2013-11-10,65
2013-11-17,63
2013-11-24,52
2013-12-01,59
2013-12-08,55
2013-12-15,50
2013-12-22,52
2013-12-29,83
2014-01-05,97
2014-01-12,82
2014-01-19,76
2014-01-26,73
2014-02-02,73
2014-02-09,68
2014-02-16,72
2014-02-23,73
2014-03-02,78
2014-03-09,72
2014-03-16,72
2014-03-23,74
2014-03-30,72
2014-04-06,72
2014-04-13,70
2014-04-20,73
2014-04-27,74
2014-05-04,72
2014-05-11,70
2014-05-18,67
2014-05-25,67
2014-06-01,68
2014-06-08,66
2014-06-15,66
2014-06-22,65
2014-06-29,62
2014-07-06,66
2014-07-13,64
2014-07-20,64
2014-07-27,63
2014-08-03,66
2014-08-10,64
2014-08-17,63
2014-08-24,60
2014-08-31,62
2014-09-07,60
2014-09-14,65
2014-09-21,61
2014-09-28,62
2014-10-05,59
2014-10-12,58
2014-10-19,57
2014-10-26,58
2014-11-02,61
2014-11-09,58
2014-11-16,57
2014-11-23,49
2014-11-30,57
2014-12-07,53
2014-12-14,48
2014-12-21,46
2014-12-28,71
2015-01-04,86
2015-01-11,79
2015-01-18,70
2015-01-25,66
2015-02-01,65
2015-02-08,64
2015-02-15,64
2015-02-22,67
2015-03-01,68
2015-03-08,68
2015-03-15,69
2015-03-22,69
2015-03-29,64
2015-04-05,68
2015-04-12,68
2015-04-19,71
2015-04-26,67
2015-05-03,67
2015-05-10,67
2015-05-17,63
2015-05-24,63
2015-05-31,65
2015-06-07,66
2015-06-14,63
2015-06-21,61
2015-06-28,59
2015-07-05,62
2015-07-12,61
2015-07-19,64
2015-07-26,62
2015-08-02,64
2015-08-09,63
2015-08-16,61
2015-08-23,59
2015-08-30,58
2015-09-06,59
2015-09-13,59
2015-09-20,57
2015-09-27,57
2015-10-04,58
2015-10-11,57
2015-10-18,57
2015-10-25,56
2015-11-01,58
2015-11-08,55
2015-11-15,53
2015-11-22,48
2015-11-29,52
2015-12-06,52
2015-12-13,48
2015-12-20,44
2015-12-27,63
2016-01-03,83
2016-01-10,74
2016-01-17,71
2016-01-24,70
2016-01-31,67
2016-02-07,63
2016-02-14,63
2016-02-21,66
2016-02-28,65
2016-03-06,66
2016-03-13,64
2016-03-20,63
2016-03-27,65
2016-04-03,67
2016-04-10,68
2016-04-17,67
2016-04-24,67
2016-05-01,64
2016-05-08,65
2016-05-15,64
2016-05-22,62
2016-05-29,62
2016-06-05,62
2016-06-12,58
2016-06-19,58
